Approx. date posted,Age shown on FB,Caption (verbatim),Format,Reactions,Comments,Notes
2026-09-06,4d,Kahit maulan tuloy pa rin 8kw project near mamplasan exit,Photos,88,2,"8kW install, Mamplasan; rain-doesn't-stop-us angle"
2026-08-20,3w,"Babalik ka rin(balik sa deye,marami talaga fans ng deye isa na ko dun)",Video 0:13,99,4,Deye inverter brand loyalty; client comment thanks team for home solar install
2026-08-13,4w,"Collab installation, to share expertise",Photos,76,4,Partner/collab install; comments ask about seminars and solar-light batteries
2026-08-13,4w,"late upload,location tandang sora qc",Photos,58,6,"Job-site post, Tandang Sora QC; several manpower/job enquiries in comments"
2026-08-13,4w,late upload sa ibang bayan naman mexico p,Video 0:09,117,6,"Out-of-town install, Mexico, Pampanga"
2026-08-13,4w,Another 6kw proj.for the Xth times,Video 0:34,84,11,6kW system; repeat-project framing
2026-07-30,6w,upgrade ng client sa mexico p,Video (shared quote),,,"On-screen text: ""Another day another solar setup kahit maulan ingat lang ang baon"". Counts not displayed on post view."
2026-07-30,6w,Subcon 12kw with master Tommy,Photos,102,8,12kW subcontract job
2026-07-23,7w,Late upload 8kw proj solis inverter nman ok na ako sa deye,Photos,142,10,"Highest engagement in the set. 8kW, Solis inverter vs Deye comparison"
approx. Jul 2026,between 7w and 11w,10 panels done 6 more for 8kw set up,Photos,100,17,"Progress-update post, 8kW build. Date approximate"
2026-04-16,21w,Maybe its a final countdown will see next month,Photos,59,14,Teaser before switch-on; comments ask for before/after electricity bill
2026-03-12,26w,"From almost 6k monthly then and now, the power of solar set up hoping a low monthly consumption for the months ahead",Photos,88,13,Bill-savings proof post
,,,Totals,1013,95,
